condition,ligand,receptor,seed,ok,out_pdbqt,n_poses,best_score
A,9FS0_A1IFY,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_9FS0_A1IFY_beta3.2_s2_out.pdbqt,20,-8.242
B,9FS0_A1IFY,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_9FS0_A1IFY_1EZM_apo_s1_out.pdbqt,20,-6.023
B,9FS0_A1IFY,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_9FS0_A1IFY_1EZM_apo_s2_out.pdbqt,20,-5.991
C,1U4G_HPI,1U4G,1,True,results/lasb_ensemble_rmsd/docking/C_1U4G_HPI_1U4G_s1_out.pdbqt,20,-8.993
C,1U4G_HPI,1U4G,2,True,results/lasb_ensemble_rmsd/docking/C_1U4G_HPI_1U4G_s2_out.pdbqt,20,-8.989
C,3DBK_RDF,3DBK,1,True,results/lasb_ensemble_rmsd/docking/C_3DBK_RDF_3DBK_s1_out.pdbqt,20,-9.284
C,3DBK_RDF,3DBK,2,True,results/lasb_ensemble_rmsd/docking/C_3DBK_RDF_3DBK_s2_out.pdbqt,20,-9.285
C,6F8B_CXH,6F8B,1,True,results/lasb_ensemble_rmsd/docking/C_6F8B_CXH_6F8B_s1_out.pdbqt,20,-5.166
C,6F8B_CXH,6F8B,2,True,results/lasb_ensemble_rmsd/docking/C_6F8B_CXH_6F8B_s2_out.pdbqt,20,-5.161
C,6FZX_EEK,6FZX,1,True,results/lasb_ensemble_rmsd/docking/C_6FZX_EEK_6FZX_s1_out.pdbqt,20,-8.089
C,6FZX_EEK,6FZX,2,True,results/lasb_ensemble_rmsd/docking/C_6FZX_EEK_6FZX_s2_out.pdbqt,20,-8.094
C,7QH1_CI8,7QH1,1,True,results/lasb_ensemble_rmsd/docking/C_7QH1_CI8_7QH1_s1_out.pdbqt,20,-8.499
C,7QH1_CI8,7QH1,2,True,results/lasb_ensemble_rmsd/docking/C_7QH1_CI8_7QH1_s2_out.pdbqt,20,-8.535
C,8R1B_XI5,8R1B,1,True,results/lasb_ensemble_rmsd/docking/C_8R1B_XI5_8R1B_s1_out.pdbqt,20,-8.037
C,8R1B_XI5,8R1B,2,True,results/lasb_ensemble_rmsd/docking/C_8R1B_XI5_8R1B_s2_out.pdbqt,20,-8.0
C,8CC4_U7F,8CC4,1,True,results/lasb_ensemble_rmsd/docking/C_8CC4_U7F_8CC4_s1_out.pdbqt,20,-7.69
C,8CC4_U7F,8CC4,2,True,results/lasb_ensemble_rmsd/docking/C_8CC4_U7F_8CC4_s2_out.pdbqt,20,-7.686
C,9FQD_A1IEX,9FQD,1,True,results/lasb_ensemble_rmsd/docking/C_9FQD_A1IEX_9FQD_s1_out.pdbqt,20,-8.076
C,9FQD_A1IEX,9FQD,2,True,results/lasb_ensemble_rmsd/docking/C_9FQD_A1IEX_9FQD_s2_out.pdbqt,20,-7.982
C,9FQE_A1IEU,9FQE,1,True,results/lasb_ensemble_rmsd/docking/C_9FQE_A1IEU_9FQE_s1_out.pdbqt,20,-8.484
C,9FQE_A1IEU,9FQE,2,True,results/lasb_ensemble_rmsd/docking/C_9FQE_A1IEU_9FQE_s2_out.pdbqt,20,-8.505
C,9FQX_A1IJJ,9FQX,1,True,results/lasb_ensemble_rmsd/docking/C_9FQX_A1IJJ_9FQX_s1_out.pdbqt,20,-7.957
C,9FQX_A1IJJ,9FQX,2,True,results/lasb_ensemble_rmsd/docking/C_9FQX_A1IJJ_9FQX_s2_out.pdbqt,20,-7.931
C,9FQY_A1IFN,9FQY,1,True,results/lasb_ensemble_rmsd/docking/C_9FQY_A1IFN_9FQY_s1_out.pdbqt,19,-8.111
C,9FQY_A1IFN,9FQY,2,True,results/lasb_ensemble_rmsd/docking/C_9FQY_A1IFN_9FQY_s2_out.pdbqt,20,-8.268
C,9FRY_A1IFU,9FRY,1,True,results/lasb_ensemble_rmsd/docking/C_9FRY_A1IFU_9FRY_s1_out.pdbqt,20,-8.36
C,9FRY_A1IFU,9FRY,2,True,results/lasb_ensemble_rmsd/docking/C_9FRY_A1IFU_9FRY_s2_out.pdbqt,20,-8.363
C,9FRZ_A1IFZ,9FRZ,1,True,results/lasb_ensemble_rmsd/docking/C_9FRZ_A1IFZ_9FRZ_s1_out.pdbqt,19,-9.016
C,9FRZ_A1IFZ,9FRZ,2,True,results/lasb_ensemble_rmsd/docking/C_9FRZ_A1IFZ_9FRZ_s2_out.pdbqt,20,-9.136
C,9GM4_A1IM0,9GM4,1,True,results/lasb_ensemble_rmsd/docking/C_9GM4_A1IM0_9GM4_s1_out.pdbqt,20,-7.849
C,9GM4_A1IM0,9GM4,2,True,results/lasb_ensemble_rmsd/docking/C_9GM4_A1IM0_9GM4_s2_out.pdbqt,20,-7.872
C,9FS0_A1IFY,9FS0,1,True,results/lasb_ensemble_rmsd/docking/C_9FS0_A1IFY_9FS0_s1_out.pdbqt,20,-8.693
C,9FS0_A1IFY,9FS0,2,True,results/lasb_ensemble_rmsd/docking/C_9FS0_A1IFY_9FS0_s2_out.pdbqt,20,-8.667
