ligand_id,ligand_class,receptor_id,seed,vina,vinardo,deltavinaXGB,heavy_atom_count,pIC50
Cmpd-0018,candidate,lasb_conformer_beta1.6,,-5.415,-4.621,,,
Cmpd-0018,candidate,lasb_conformer_beta2.4,,-5.615,-4.497,,,
Cmpd-0018,candidate,lasb_conformer_beta3.2,,-5.754,-3.719,,,
Cmpd-0019,candidate,1EZM_baseline_crystal,,-4.514,-3.042,,,
Cmpd-0019,candidate,lasb_conformer_beta0.0,,-5.454,-3.594,,,
Cmpd-0019,candidate,lasb_conformer_beta0.8,,-5.234,-3.686,,,
Cmpd-0019,candidate,lasb_conformer_beta1.6,,-5.308,-3.903,,,
Cmpd-0019,candidate,lasb_conformer_beta2.4,,-5.443,-3.643,,,
Cmpd-0019,candidate,lasb_conformer_beta3.2,,-5.146,-4.641,,,
Decoy-0000,decoy,0_0,,-8.149,,,,
Decoy-0000,decoy,0_8,,-7.654,,,,
Decoy-0000,decoy,1_6,,-7.847,,,,
Decoy-0000,decoy,2_4,,-7.77,,,,
Decoy-0000,decoy,3_2,,-7.827,,,,
Decoy-0000,decoy,1EZM_baseline_crystal,,-6.567,-4.224,,,
Decoy-0001,decoy,0_0,,-7.445,,,,
Decoy-0001,decoy,0_8,,-7.31,,,,
Decoy-0001,decoy,1_6,,-7.312,,,,
Decoy-0001,decoy,2_4,,-7.146,,,,
Decoy-0001,decoy,3_2,,-7.219,,,,
Decoy-0001,decoy,1EZM_baseline_crystal,,-6.493,-4.614,,,
Decoy-0002,decoy,0_0,,-7.566,,,,
Decoy-0002,decoy,0_8,,-7.352,,,,
Decoy-0002,decoy,1_6,,-7.444,,,,
Decoy-0002,decoy,2_4,,-7.172,,,,
Decoy-0002,decoy,3_2,,-7.321,,,,
Decoy-0002,decoy,1EZM_baseline_crystal,,-5.793,-4.067,,,
Decoy-0003,decoy,0_0,,-6.449,,,,
Decoy-0003,decoy,0_8,,-5.874,,,,
Decoy-0003,decoy,1_6,,-6.203,,,,
Decoy-0003,decoy,2_4,,-6.728,,,,
Decoy-0003,decoy,3_2,,-6.365,,,,
Decoy-0003,decoy,1EZM_baseline_crystal,,-5.584,-3.392,,,
Decoy-0004,decoy,0_0,,-8.733,,,,
Decoy-0004,decoy,0_8,,-8.496,,,,
Decoy-0004,decoy,1_6,,-7.539,,,,
Decoy-0004,decoy,2_4,,-8.006,,,,
Decoy-0004,decoy,3_2,,-8.296,,,,
Decoy-0004,decoy,1EZM_baseline_crystal,,-6.107,-3.956,,,
Decoy-0005,decoy,0_0,,-7.861,,,,
Decoy-0005,decoy,0_8,,-7.415,,,,
Decoy-0005,decoy,1_6,,-7.581,,,,
Decoy-0005,decoy,2_4,,-7.526,,,,
Decoy-0005,decoy,3_2,,-7.357,,,,
Decoy-0005,decoy,1EZM_baseline_crystal,,-6.318,-3.832,,,
Decoy-0006,decoy,0_0,,-7.48,,,,
Decoy-0006,decoy,0_8,,-7.255,,,,
Decoy-0006,decoy,1_6,,-7.04,,,,
Decoy-0006,decoy,2_4,,-7.484,,,,
Decoy-0006,decoy,3_2,,-6.59,,,,
Decoy-0006,decoy,1EZM_baseline_crystal,,-6.255,-3.883,,,
Decoy-0007,decoy,0_0,,-6.934,,,,
Decoy-0007,decoy,0_8,,-6.648,,,,
Decoy-0007,decoy,1_6,,-6.74,,,,
Decoy-0007,decoy,2_4,,-7.088,,,,
Decoy-0007,decoy,3_2,,-6.702,,,,
Decoy-0007,decoy,1EZM_baseline_crystal,,-5.573,-3.778,,,
Decoy-0008,decoy,0_0,,-7.843,,,,
Decoy-0008,decoy,0_8,,-8.323,,,,
Decoy-0008,decoy,1_6,,-7.658,,,,
Decoy-0008,decoy,2_4,,-7.535,,,,
Decoy-0008,decoy,3_2,,-9.935,,,,
Decoy-0008,decoy,1EZM_baseline_crystal,,-6.331,-4.205,,,
Decoy-0009,decoy,0_0,,-6.318,,,,
Decoy-0009,decoy,0_8,,-5.666,,,,
Decoy-0009,decoy,1_6,,-5.876,,,,
Decoy-0009,decoy,2_4,,-5.841,,,,
Decoy-0009,decoy,3_2,,-5.302,,,,
Decoy-0009,decoy,1EZM_baseline_crystal,,-5.518,-4.09,,,
Decoy-0010,decoy,0_0,,-7.183,,,,
Decoy-0010,decoy,0_8,,-6.911,,,,
Decoy-0010,decoy,1_6,,-6.704,,,,
Decoy-0010,decoy,2_4,,-7.08,,,,
Decoy-0010,decoy,3_2,,-6.756,,,,
Decoy-0010,decoy,1EZM_baseline_crystal,,-5.631,-3.919,,,
Decoy-0011,decoy,0_0,,-6.435,,,,
Decoy-0011,decoy,0_8,,-5.85,,,,
